seasonid,season_start,season_end,era,league_id,mvp_tie,season_mvp,player_name,player_full_name,nba_mvps,position,positions_played,shooting_hand,height,height_inches,weight,bref_url_player,teamid_mvp_bref,team_name_mvp_bref,current_team_name,current_team,current_team_conference,current_team_division,current_team_hex_color,mvp_age,birth_year,birthdate,birth_city,birth_state,birth_location,birth_longitude,birth_latitude,college,draft_team,draft_position,pick_round,round_pick,overall_pick,draft_year,nba_debut,aba_debut,nba_hof_year,player_numbers,hs_location,high_school,hs_city,hs_state,hs_longitude,hs_latitude,hs_year,hs_rank,as_coach,coach_seasons,coach_win_percentage,coach_wins,coach_losses,games_played,minutes_per_game,points_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,field_goal_percentage,three_point_percentage,free_throw_percentage,win_share,win_share_per_48
1982-83,1982,1983,1980 to 1989,NBA,FALSE,TRUE,Moses Malone,Moses Eugene Malone,3,"C, PF",2,Right,6'10,82,215,http://www.basketball-reference.com/players/m/malonmo01.html,PHI,Philadelphia 76ers,Philadelphia 76ers,76ers,Eastern,Atlantic,#0046AD,27,1955,3/23/55,Petersburg,Virginia,"Petersburg, Virginia",-77.4019267,37.2279279,,NA,aba draft pick,aba draft pick,aba draft,aba draft,1974,10/21/76,10/18/74,2001,"22, 13, 20, 21, 24, 2, 4, 4, 2, 8, 2","Petersburg, Virginia",Petersburg ,Petersburg,Virginia,-77.4019267,37.2279279,NA,NA,,NA,NA,NA,NA,78,37.5,24.5,15.3,1.3,1.1,2,50.1,0,76.1,15.1,24.8
1983-84,1983,1984,1980 to 1989,NBA,FALSE,TRUE,Larry Bird,Larry Joe Bird,3,"SF, PF",2,Right,6'9,81,220,http://www.basketball-reference.com/players/b/birdla01.html,BOS,Boston Celtics,Boston Celtics,Celtics,Eastern,Atlantic,#009E60,27,1956,12/7/56,West Baden,Indiana,"West Baden, Indiana",-86.6111026,38.5653318,Indiana State University,Boston Celtics,1st round - 6th pick 6th overall,1,6,6,1978,10/12/79,,1998,33,"French Lick, Indiana",Springs Valley ,French Lick,Indiana,-86.6199914,38.5489431,NA,NA,"3 Yr, 147-67, .687",3,0.687,147,67,79,38.3,24.2,10.1,6.6,1.8,0.9,49.2,24.7,88.8,13.6,21.5
1984-85,1984,1985,1980 to 1989,NBA,FALSE,TRUE,Larry Bird,Larry Joe Bird,3,"SF, PF",2,Right,6'9,81,220,http://www.basketball-reference.com/players/b/birdla01.html,BOS,Boston Celtics,Boston Celtics,Celtics,Eastern,Atlantic,#009E60,28,1956,12/7/56,West Baden,Indiana,"West Baden, Indiana",-86.6111026,38.5653318,Indiana State University,Boston Celtics,1st round - 6th pick 6th overall,1,6,6,1978,10/12/79,,1998,33,"French Lick, Indiana",Springs Valley ,French Lick,Indiana,-86.6199914,38.5489431,NA,NA,"3 Yr, 147-67, .687",3,0.687,147,67,80,39.5,28.7,10.5,6.6,1.6,1.2,52.2,42.7,88.2,15.7,23.8
1985-86,1985,1986,1980 to 1989,NBA,FALSE,TRUE,Larry Bird,Larry Joe Bird,3,"SF, PF",2,Right,6'9,81,220,http://www.basketball-reference.com/players/b/birdla01.html,BOS,Boston Celtics,Boston Celtics,Celtics,Eastern,Atlantic,#009E60,29,1956,12/7/56,West Baden,Indiana,"West Baden, Indiana",-86.6111026,38.5653318,Indiana State University,Boston Celtics,1st round - 6th pick 6th overall,1,6,6,1978,10/12/79,,1998,33,"French Lick, Indiana",Springs Valley ,French Lick,Indiana,-86.6199914,38.5489431,NA,NA,"3 Yr, 147-67, .687",3,0.687,147,67,82,38,25.8,9.8,6.8,2,0.6,49.6,42.3,89.6,15.8,24.4
1986-87,1986,1987,1980 to 1989,NBA,FALSE,TRUE,Magic Johnson,Earvin Johnson Jr.,3,"PG, SG, PF",3,Right,6'8,80,215,http://www.basketball-reference.com/players/j/johnsma02.html,LAL,Los Angeles Lakers,Los Angeles Lakers,Lakers,Western,Pacific,#4A2583,27,1959,8/14/59,Lansg,Michigan,"Lansg, Michigan",-84.5555347,42.732535,Michigan State University,Los Angeles Lakers,1st round - 1st pick 1st overall,1,1,1,1979,10/12/79,,2002,32,"Lansing, Michigan",Everett ,Lansing,Michigan,-84.5555347,42.732535,NA,NA,"1 Yr, 5-11, .313",1,0.313,5,11,80,36.3,23.9,6.3,12.2,1.7,0.5,52.2,20.5,84.8,15.9,26.3
1987-88,1987,1988,1980 to 1989,NBA,FALSE,TRUE,Michael Jordan,Michael Jeffrey Jordan,5,"SG, SF",2,Right,6'6,78,195,http://www.basketball-reference.com/players/j/jordami01.html,CHI,Chicago Bulls,Chicago Bulls,Bulls,Eastern,Central,#D4001F,24,1963,2/17/63,Brooklyn,New York,"Brooklyn, New York",-73.95,40.65,University of North Carolina,Chicago Bulls,1st round - 3rd pick 3rd overall,1,3,3,1984,10/26/84,,2009,"23, 45, 23","Wilmington, North Carolina",Emsley A. Laney ,Wilmington,North Carolina,-77.9447102,34.2257255,NA,NA,,NA,NA,NA,NA,82,40.4,35,5.5,5.9,3.2,1.6,53.5,13.2,84.1,21.2,30.8
1988-89,1988,1989,1980 to 1989,NBA,FALSE,TRUE,Magic Johnson,Earvin Johnson Jr.,3,"PG, SG, PF",3,Right,6'8,80,215,http://www.basketball-reference.com/players/j/johnsma02.html,LAL,Los Angeles Lakers,Los Angeles Lakers,Lakers,Western,Pacific,#4A2583,29,1959,8/14/59,Lansg,Michigan,"Lansg, Michigan",-84.5555347,42.732535,Michigan State University,Los Angeles Lakers,1st round - 1st pick 1st overall,1,1,1,1979,10/12/79,,2002,32,"Lansing, Michigan",Everett ,Lansing,Michigan,-84.5555347,42.732535,NA,NA,"1 Yr, 5-11, .313",1,0.313,5,11,77,37.5,22.5,7.9,12.8,1.8,0.3,50.9,31.4,91.1,16.1,26.7
1989-90,1989,1990,1990 to 1999,NBA,FALSE,TRUE,Magic Johnson,Earvin Johnson Jr.,3,"PG, SG, PF",3,Right,6'8,80,215,http://www.basketball-reference.com/players/j/johnsma02.html,LAL,Los Angeles Lakers,Los Angeles Lakers,Lakers,Western,Pacific,#4A2583,30,1959,8/14/59,Lansg,Michigan,"Lansg, Michigan",-84.5555347,42.732535,Michigan State University,Los Angeles Lakers,1st round - 1st pick 1st overall,1,1,1,1979,10/12/79,,2002,32,"Lansing, Michigan",Everett ,Lansing,Michigan,-84.5555347,42.732535,NA,NA,"1 Yr, 5-11, .313",1,0.313,5,11,79,37.2,22.3,6.6,11.5,1.7,0.4,48,38.4,89,16.5,27
1990-91,1990,1991,1990 to 1999,NBA,FALSE,TRUE,Michael Jordan,Michael Jeffrey Jordan,5,"SG, SF",2,Right,6'6,78,195,http://www.basketball-reference.com/players/j/jordami01.html,CHI,Chicago Bulls,Chicago Bulls,Bulls,Eastern,Central,#D4001F,27,1963,2/17/63,Brooklyn,New York,"Brooklyn, New York",-73.95,40.65,University of North Carolina,Chicago Bulls,1st round - 3rd pick 3rd overall,1,3,3,1984,10/26/84,,2009,"23, 45, 23","Wilmington, North Carolina",Emsley A. Laney ,Wilmington,North Carolina,-77.9447102,34.2257255,NA,NA,,NA,NA,NA,NA,82,37,31.5,6,5.5,2.7,1,53.9,31.2,85.1,20.3,32.1
1991-92,1991,1992,1990 to 1999,NBA,FALSE,TRUE,Michael Jordan,Michael Jeffrey Jordan,5,"SG, SF",2,Right,6'6,78,195,http://www.basketball-reference.com/players/j/jordami01.html,CHI,Chicago Bulls,Chicago Bulls,Bulls,Eastern,Central,#D4001F,28,1963,2/17/63,Brooklyn,New York,"Brooklyn, New York",-73.95,40.65,University of North Carolina,Chicago Bulls,1st round - 3rd pick 3rd overall,1,3,3,1984,10/26/84,,2009,"23, 45, 23","Wilmington, North Carolina",Emsley A. Laney ,Wilmington,North Carolina,-77.9447102,34.2257255,NA,NA,,NA,NA,NA,NA,80,38.8,30.1,6.4,6.1,2.3,0.9,51.9,27,83.2,17.7,27.4
1992-93,1992,1993,1990 to 1999,NBA,FALSE,TRUE,Charles Barkley,Charles Wade Barkley,1,PF,1,Right,6'6,78,252,http://www.basketball-reference.com/players/b/barklch01.html,PHO,Phoenix Suns,Phoenix Suns,Suns,Western,Pacific,#e65f20,29,1963,2/20/63,Leeds,Alabama,"Leeds, Alabama",-86.5444288,33.5481597,Auburn University,Philadelphia 76ers,1st round - 5th pick 5th overall,1,5,5,1984,10/26/84,,2006,"34, 32, 34, 4","Leeds, Alabama",Leeds ,Leeds,Alabama,-86.5444288,33.5481597,NA,NA,,NA,NA,NA,NA,76,37.6,25.6,12.2,5.1,1.6,1,52,30.5,76.5,14.4,24.2
1993-94,1993,1994,1990 to 1999,NBA,FALSE,TRUE,Hakeem Olajuwon,Hakeem Abdul Olajuwon,1,C,1,Right,7'0,84,255,http://www.basketball-reference.com/players/o/olajuha01.html,HOU,Houston Rockets,Houston Rockets,Rockets,Western,Southwest,#CE1138,31,1963,1/21/63,Lagos,Nigeria,"Lagos, Nigeria",3.3792057,6.5243793,University of Houston,Houston Rockets,1st round - 1st pick 1st overall,1,1,1,1984,10/27/84,,2008,"34, 34, 34","Lagos, Nigeria",Muslim Teachers College ,Lagos,Nigeria,3.3792057,6.5243793,NA,NA,,NA,NA,NA,NA,80,41,27.3,11.9,3.6,1.6,3.7,52.8,42.1,71.6,14.3,21
1994-95,1994,1995,1990 to 1999,NBA,FALSE,TRUE,David Robinson,David Maurice Robinson,1,C,1,Left,7'1,85,235,http://www.basketball-reference.com/players/r/robinda01.html,SAS,San Antonio Spurs,San Antonio Spurs,Spurs,Western,Southwest,#BEC8C9,29,1965,8/6/65,Key West,Florida,"Key West, Florida",-81.7799871,24.5550593,United States Naval Academy,San Antonio Spurs,1st round - 1st pick 1st overall,1,1,1,1987,11/4/89,,2009,50,"Manassas, Virginia",Osbourn Park ,Manassas,Virginia,-77.4752667,38.7509488,NA,NA,,NA,NA,NA,NA,81,38,27.6,10.8,2.9,1.7,3.2,53,30,77.4,17.5,27.3
1995-96,1995,1996,1990 to 1999,NBA,FALSE,TRUE,Michael Jordan,Michael Jeffrey Jordan,5,"SG, SF",2,Right,6'6,78,195,http://www.basketball-reference.com/players/j/jordami01.html,CHI,Chicago Bulls,Chicago Bulls,Bulls,Eastern,Central,#D4001F,32,1963,2/17/63,Brooklyn,New York,"Brooklyn, New York",-73.95,40.65,University of North Carolina,Chicago Bulls,1st round - 3rd pick 3rd overall,1,3,3,1984,10/26/84,,2009,"23, 45, 23","Wilmington, North Carolina",Emsley A. Laney ,Wilmington,North Carolina,-77.9447102,34.2257255,NA,NA,,NA,NA,NA,NA,82,37.7,30.4,6.6,4.3,2.2,0.5,49.5,42.7,83.4,20.4,31.7
1996-97,1996,1997,1990 to 1999,NBA,FALSE,TRUE,Karl Malone,Karl Anthony Malone,2,PF,1,Right,6'9,81,250,http://www.basketball-reference.com/players/m/malonka01.html,UTA,Utah Jazz,Utah Jazz,Jazz,Western,Southwest,#00275D,33,1963,7/24/63,Summerfield,Louisiana,"Summerfield, Louisiana",-92.8293247,32.9126429,Louisiana Tech University,Utah Jazz,1st round - 13th pick 13th overall,1,13,13,1985,10/25/85,,2010,"32, 32, 11","Summerfield, Louisiana",Summerfield ,Summerfield,Louisiana,-92.8293247,32.9126429,NA,NA,,NA,NA,NA,NA,82,36.6,27.4,9.9,4.5,1.4,0.6,55,0,75.5,16.7,26.8
1997-98,1997,1998,1990 to 1999,NBA,FALSE,TRUE,Michael Jordan,Michael Jeffrey Jordan,5,"SG, SF",2,Right,6'6,78,195,http://www.basketball-reference.com/players/j/jordami01.html,CHI,Chicago Bulls,Chicago Bulls,Bulls,Eastern,Central,#D4001F,34,1963,2/17/63,Brooklyn,New York,"Brooklyn, New York",-73.95,40.65,University of North Carolina,Chicago Bulls,1st round - 3rd pick 3rd overall,1,3,3,1984,10/26/84,,2009,"23, 45, 23","Wilmington, North Carolina",Emsley A. Laney ,Wilmington,North Carolina,-77.9447102,34.2257255,NA,NA,,NA,NA,NA,NA,82,38.8,28.7,5.8,3.5,1.7,0.5,46.5,23.8,78.4,15.8,23.8
1998-99,1998,1999,1990 to 1999,NBA,FALSE,TRUE,Karl Malone,Karl Anthony Malone,2,PF,1,Right,6'9,81,250,http://www.basketball-reference.com/players/m/malonka01.html,UTA,Utah Jazz,Utah Jazz,Jazz,Western,Southwest,#00275D,35,1963,7/24/63,Summerfield,Louisiana,"Summerfield, Louisiana",-92.8293247,32.9126429,Louisiana Tech University,Utah Jazz,1st round - 13th pick 13th overall,1,13,13,1985,10/25/85,,2010,"32, 32, 11","Summerfield, Louisiana",Summerfield ,Summerfield,Louisiana,-92.8293247,32.9126429,NA,NA,,NA,NA,NA,NA,49,37.4,23.8,9.4,4.1,1.3,0.6,49.3,0,78.8,9.6,25.2
1999-00,1999,2000,2000 to 2009,NBA,FALSE,TRUE,Shaquille O'Neal,Shaquille Rashaun O'Neal,1,C,1,Right,7'1,85,325,http://www.basketball-reference.com/players/o/onealsh01.html,LAL,Los Angeles Lakers,Los Angeles Lakers,Lakers,Western,Pacific,#4A2583,27,1972,3/6/72,Newark,New Jersey,"Newark, New Jersey",-74.1723667,40.735657,Louisiana State University,Orlando Magic,1st round - 1st pick 1st overall,1,1,1,1992,11/6/92,,NA,"32, 34, 32, 32, 32, 33, 36","San Antonio, Texas",Cole ,San Antonio,Texas,-98.4936282,29.4241219,NA,NA,,NA,NA,NA,NA,79,40,29.7,13.6,3.8,0.5,3,57.4,0,52.4,18.6,28.3
2000-01,2000,2001,2000 to 2009,NBA,FALSE,TRUE,Allen Iverson,Allen Ezail Iverson,1,"SG, PG",2,Right,6'0,72,165,http://www.basketball-reference.com/players/i/iversal01.html,PHI,Philadelphia 76ers,Philadelphia 76ers,76ers,Eastern,Atlantic,#0046AD,25,1975,6/7/75,Hampton,Virginia,"Hampton, Virginia",-76.3452218,37.0298687,Georgetown University,Philadelphia 76ers,1st round - 1st pick 1st overall,1,1,1,1996,11/1/96,,NA,"3, 3, 3, 3, 1, 3","Hampton, Virginia",Bethel ,Hampton,Virginia,-76.3452218,37.0298687,NA,NA,,NA,NA,NA,NA,71,42,31.1,3.8,4.6,2.5,0.3,42,32,81.4,11.8,19
2001-02,2001,2002,2000 to 2009,NBA,FALSE,TRUE,Tim Duncan,Timothy Theodore Duncan,2,"PF, C",2,Right,6'11,83,248,http://www.basketball-reference.com/players/d/duncati01.html,SAS,San Antonio Spurs,San Antonio Spurs,Spurs,Western,Southwest,#BEC8C9,25,1976,4/25/76,St. Croix,U.S. Virgin Islands,"St. Croix, U.S. Virgin Islands",-64.8347992,17.7245968,Wake Forest University,San Antonio Spurs,1st round - 1st pick 1st overall,1,1,1,1997,10/31/97,,NA,21,"Saint Croix, U.S. Virgin Islands",Saint Dunstan's Episcopal ,Saint Croix,U.S. Virgin Islands,-64.8347992,17.7245968,NA,NA,,NA,NA,NA,NA,82,40.6,25.5,12.7,3.7,0.7,2.5,50.8,10,79.9,17.8,25.7
2002-03,2002,2003,2000 to 2009,NBA,FALSE,TRUE,Tim Duncan,Timothy Theodore Duncan,2,"PF, C",2,Right,6'11,83,248,http://www.basketball-reference.com/players/d/duncati01.html,SAS,San Antonio Spurs,San Antonio Spurs,Spurs,Western,Southwest,#BEC8C9,26,1976,4/25/76,St. Croix,U.S. Virgin Islands,"St. Croix, U.S. Virgin Islands",-64.8347992,17.7245968,Wake Forest University,San Antonio Spurs,1st round - 1st pick 1st overall,1,1,1,1997,10/31/97,,NA,21,"Saint Croix, U.S. Virgin Islands",Saint Dunstan's Episcopal ,Saint Croix,U.S. Virgin Islands,-64.8347992,17.7245968,NA,NA,,NA,NA,NA,NA,81,39.3,23.3,12.9,3.9,0.7,2.9,51.3,27.3,71,16.5,24.8
2003-04,2003,2004,2000 to 2009,NBA,FALSE,TRUE,Kevin Garnett,Kevin Maurice Garnett,1,"PF, C, SF",3,Right,6'11,83,220,http://www.basketball-reference.com/players/g/garneke01.html,MIN,Minnesota Timberwolves,Minnesota Timberwolves,Timberwolves,Western,Northwest,#0F4D92,27,1976,5/19/76,Mauld,South Carolina,"Mauld, South Carolina",-82.310119,34.77873,,Minnesota Timberwolves,1st round - 5th pick 5th overall,1,5,5,1995,11/3/95,,NA,"21, 21, 5, 2","Chicago, Illinois",Farragut Career Academy ,Chicago,Illinois,-87.6297982,41.8781136,NA,NA,,NA,NA,NA,NA,82,39.4,24.2,13.9,5,1.5,2.2,49.9,25.6,79.1,18.3,27.2
2004-05,2004,2005,2000 to 2009,NBA,FALSE,TRUE,Steve Nash,Stephen John Nash,2,PG,1,Right,6'3,75,195,http://www.basketball-reference.com/players/n/nashst01.html,PHO,Phoenix Suns,Phoenix Suns,Suns,Western,Pacific,#e65f20,30,1974,2/7/74,Johannesburg,South Africa,"Johannesburg, South Africa",28.0473051,-26.2041028,Santa Clara University,Phoenix Suns,1st round - 15th pick 15th overall,1,15,15,1996,11/1/96,,NA,"13, 13, 13, 13, 10","Victoria, Canada",Saint Michaels University School ,Victoria,Canada,-97.1701762,49.8071343,NA,NA,,NA,NA,NA,NA,75,34.3,15.5,3.3,11.5,1,0.1,50.2,43.1,88.7,10.9,20.3
2005-06,2005,2006,2000 to 2009,NBA,FALSE,TRUE,Steve Nash,Stephen John Nash,2,PG,1,Right,6'3,75,195,http://www.basketball-reference.com/players/n/nashst01.html,PHO,Phoenix Suns,Phoenix Suns,Suns,Western,Pacific,#e65f20,31,1974,2/7/74,Johannesburg,South Africa,"Johannesburg, South Africa",28.0473051,-26.2041028,Santa Clara University,Phoenix Suns,1st round - 15th pick 15th overall,1,15,15,1996,11/1/96,,NA,"13, 13, 13, 13, 10","Victoria, Canada",Saint Michaels University School ,Victoria,Canada,-97.1701762,49.8071343,NA,NA,,NA,NA,NA,NA,79,35.4,18.8,4.2,10.5,0.8,0.2,51.2,43.9,92.1,12.4,21.2
2006-07,2006,2007,2000 to 2009,NBA,FALSE,TRUE,Dirk Nowitzki,Dirk Werner Nowitzki,1,"PF, C",2,Right,7'0,84,237,http://www.basketball-reference.com/players/n/nowitdi01.html,DAL,Dallas Mavericks,Dallas Mavericks,Mavericks,Western,Southwest,#0b60ad,28,1978,6/19/78,Wurzburg,Germany,"Wurzburg, Germany",9.9535715,49.7915953,,Milwaukee Bucks,1st round - 9th pick 9th overall,1,9,9,1998,2/5/99,,NA,"41, 41","Wurzburg, Germany",Rontgen Gymnasium ,Wurzburg,Germany,9.9535715,49.7915953,NA,NA,,NA,NA,NA,NA,78,36.2,24.6,8.9,3.4,0.7,0.8,50.2,41.6,90.4,16.3,27.8
2007-08,2007,2008,2000 to 2009,NBA,FALSE,TRUE,Kobe Bryant,Kobe Bean Bryant,1,SG,1,Right,6'6,78,200,http://www.basketball-reference.com/players/b/bryanko01.html,LAL,Los Angeles Lakers,Los Angeles Lakers,Lakers,Western,Pacific,#4A2583,29,1978,8/23/78,Philadelphia,Pennsylvania,"Philadelphia, Pennsylvania",-75.163789,39.952335,,Charlotte Hornets,1st round - 13th pick 13th overall,1,13,13,1996,11/3/96,,NA,"8, 24","Ardmore, Pennsylvania",Lower Merion ,Ardmore,Pennsylvania,-75.2854622,40.0067785,NA,NA,,NA,NA,NA,NA,82,38.9,28.3,6.3,5.4,1.8,0.5,45.9,36.1,84,13.8,20.8
2008-09,2008,2009,2000 to 2009,NBA,FALSE,TRUE,LeBron James,LeBron Raymone James,4,"SF, PF, SG",3,Right,6'8,80,240,http://www.basketball-reference.com/players/j/jamesle01.html,CLE,Cleveland Cavaliers,Cleveland Cavaliers,Cavaliers,Eastern,Central,#b3121d,24,1984,12/30/84,Akron,Ohio,"Akron, Ohio",-81.5190053,41.0814447,,Cleveland Cavaliers,1st round - 1st pick 1st overall,1,1,1,2003,10/29/03,,NA,"23, 6","Akron, Ohio",Saint Vincent-Saint Mary ,Akron,Ohio,-81.5190053,41.0814447,2003,1,,NA,NA,NA,NA,81,37.7,28.4,7.6,7.2,1.7,1.1,48.9,34.4,78,20.3,31.8
2009-10,2009,2010,2010 to 2014,NBA,FALSE,TRUE,LeBron James,LeBron Raymone James,4,"SF, PF, SG",3,Right,6'8,80,240,http://www.basketball-reference.com/players/j/jamesle01.html,CLE,Cleveland Cavaliers,Cleveland Cavaliers,Cavaliers,Eastern,Central,#b3121d,25,1984,12/30/84,Akron,Ohio,"Akron, Ohio",-81.5190053,41.0814447,,Cleveland Cavaliers,1st round - 1st pick 1st overall,1,1,1,2003,10/29/03,,NA,"23, 6","Akron, Ohio",Saint Vincent-Saint Mary ,Akron,Ohio,-81.5190053,41.0814447,2003,1,,NA,NA,NA,NA,76,39,29.7,7.3,8.6,1.6,1,50.3,33.3,76.7,18.5,29.9
2010-11,2010,2011,2010 to 2014,NBA,FALSE,TRUE,Derrick Rose,Derrick Martell Rose,1,PG,1,Right,6'3,75,190,http://www.basketball-reference.com/players/r/rosede01.html,CHI,Chicago Bulls,Chicago Bulls,Bulls,Eastern,Central,#D4001F,22,1988,10/4/88,Chicago,Illinois,"Chicago, Illinois",-87.6297982,41.8781136,University of Memphis,Chicago Bulls,1st round - 1st pick 1st overall,1,1,1,2008,10/28/08,,NA,1,"Chicago, Illinois",Simeon Career Academy ,Chicago,Illinois,-87.6297982,41.8781136,2007,5,,NA,NA,NA,NA,81,37.4,25,4.1,7.7,1,0.6,44.5,33.2,85.8,13.1,20.8
2011-12,2011,2012,2010 to 2014,NBA,FALSE,TRUE,LeBron James,LeBron Raymone James,4,"SF, PF, SG",3,Right,6'8,80,240,http://www.basketball-reference.com/players/j/jamesle01.html,MIA,Miami Heat,Miami Heat,Heat,Eastern,Southeast,#B62630,27,1984,12/30/84,Akron,Ohio,"Akron, Ohio",-81.5190053,41.0814447,,Cleveland Cavaliers,1st round - 1st pick 1st overall,1,1,1,2003,10/29/03,,NA,"23, 6","Akron, Ohio",Saint Vincent-Saint Mary ,Akron,Ohio,-81.5190053,41.0814447,2003,1,,NA,NA,NA,NA,62,37.5,27.1,7.9,6.2,1.9,0.8,53.1,36.2,77.1,14.5,29.8
2012-13,2012,2013,2010 to 2014,NBA,FALSE,TRUE,LeBron James,LeBron Raymone James,4,"SF, PF, SG",3,Right,6'8,80,240,http://www.basketball-reference.com/players/j/jamesle01.html,MIA,Miami Heat,Miami Heat,Heat,Eastern,Southeast,#B62630,28,1984,12/30/84,Akron,Ohio,"Akron, Ohio",-81.5190053,41.0814447,,Cleveland Cavaliers,1st round - 1st pick 1st overall,1,1,1,2003,10/29/03,,NA,"23, 6","Akron, Ohio",Saint Vincent-Saint Mary ,Akron,Ohio,-81.5190053,41.0814447,2003,1,,NA,NA,NA,NA,76,37.9,26.8,8,7.3,1.7,0.9,56.5,40.6,75.3,19.3,32.2
2013-14,2013,2014,2010 to 2014,NBA,FALSE,TRUE,Kevin Durant,Kevin Wayne Durant,1,"SF, SG",2,Right,6'9,81,215,http://www.basketball-reference.com/players/d/duranke01.html,OKC,Oklahoma City Thunder,Oklahoma City Thunder,Thunder,Western,Northwest,#007DC3,25,1988,9/29/88,Washgton,District of Columbia,"Washgton, District of Columbia",-77.0364641,38.9072309,University of Texas at Austin,Seattle SuperSonics,1st round - 2nd pick 2nd overall,1,2,2,2007,10/31/07,,NA,"35, 35","Rockville, Maryland",Montrose Christian School ,Rockville,Maryland,-77.1527578,39.0839973,2006,2,,NA,NA,NA,NA,81,38.5,29.9,6.9,5.1,1.2,0.7,50.3,39.1,87.3,19.2,29.5
